Code,PMG,Register,Scrape
NW1078,1,1,1
NW1079,0,1,1
NW108,1,1,0
NW1080,1,1,0
NW1081,1,1,1
NW1082,1,1,1
NW1083,1,1,1
NW1084,1,1,0
NW1085,1,0,1
NW1086,1,1,0
NW1087,1,1,1
NW1088,1,1,0
NW1089,1,1,0
NW109,1,1,1
NW1090,0,1,1
NW1091,1,1,0
NW1092,1,1,0
NW1093,1,1,1
NW1094,1,1,0
NW1095,1,1,0
NW1096,1,1,1
NW1097,1,1,0
NW1098,1,1,0
NW1099,1,1,0
NW11,1,1,0
NW110,1,1,0
NW1100,1,1,0
NW1101,1,1,0
NW1102,1,1,1
NW1103,0,1,0
NW1104,1,1,0
NW1105,1,1,0
NW1106,0,1,1
NW1107,1,1,1
NW1108,1,1,1
NW1109,1,1,0
NW111,1,1,0
NW1110,1,1,0
NW1111,0,1,1
NW1112,1,1,0
NW1113,1,1,0
NW1114,1,1,0
NW1115,1,1,0
NW1116,1,1,0
NW1117,0,1,1
NW1118,1,1,0
NW1119,1,1,1
NW112,1,1,0
NW1120,1,1,0
NW1121,1,1,1
NW1122,1,1,1
NW1123,1,1,0
NW1124,1,1,1
NW1125,1,1,0
NW1126,1,1,0
NW1127,1,1,0
NW1128,1,1,0
NW1129,1,1,0
NW113,1,1,1
NW1130,1,1,0
NW1131,1,1,1
NW1132,1,1,0
NW1133,1,1,0
NW1134,1,1,0
NW1135,1,1,0
NW1136,1,1,0
NW1137,1,1,0
NW1138,1,1,1
NW1139,1,1,0
NW114,1,1,1
NW1140,1,1,1
NW1141,1,1,1
NW1142,1,1,1
NW1143,0,1,0
NW1144,1,1,0
NW1145,1,1,1
NW1146,1,1,0
NW1147,1,1,0
NW1148,1,1,0
NW1149,1,1,1
NW115,1,1,1
NW1150,1,1,1
NW1151,1,1,0
NW1152,1,1,0
NW1153,1,1,0
NW1154,0,1,1
NW1155,1,1,0
NW1156,1,1,1
NW1157,1,1,1
NW1158,1,1,1
NW1159,1,1,1
NW116,1,1,1
NW1160,1,1,0
NW1161,1,1,1
NW1162,1,1,1
NW1163,1,1,1
NW1164,1,1,0
NW1165,1,1,1
NW1166,1,1,1
NW1167,1,1,1
NW1168,1,1,0
NW1169,1,1,1
NW117,1,1,1
NW1170,1,1,1
NW1171,0,1,1
NW1172,1,1,1
NW1173,1,1,1
NW1174,1,1,1
NW1175,1,1,1
NW1176,1,1,1
NW1177,1,1,1
NW1178,1,1,1
NW1179,1,1,1
NW118,1,1,0
NW1180,1,1,1
NW1181,1,1,1
NW1182,1,0,1
NW1183,1,1,1
NW1184,1,1,1
NW1185,1,1,0
NW1186,1,1,0
NW1187,1,1,0
NW1188,1,1,0
NW1189,1,1,0
NW119,1,1,1
NW1190,1,0,1
NW1191,1,0,0
NW1192,1,1,0
NW1193,1,1,0
NW1194,1,1,0
NW1195,1,1,0
NW1196,1,0,1
NW1197,1,0,1
NW1198,1,1,1
NW1199,1,0,0
NW12,0,1,0
NW120,1,1,1
NW1200,1,0,1
NW1201,1,1,0
NW1202,1,1,1
NW1203,1,1,0
NW1204,1,0,1
NW1205,1,0,1
NW1206,1,0,0
NW1207,1,0,1
NW1208,1,1,0
NW1209,0,1,1
NW121,1,1,1
NW1210,1,1,0
NW1211,1,0,1
