id,member,profile_pic,party_id
2083,"Malinga, Mr JS",Malinga.jpg,19
1947,"Shiviti, Ms TG",Tsakani_Goodness_Shiviti.JPG,1
2052,"Christie, Ms KA",christie.jpg,2
2087,"Mchunu, Ms G",Mchunu_G.jpg,19
2086,"Mbele, Ms H",Mbele.jpg,19
1177,"Diale, Ms B",1/Diale.jpg,11
1995,"Adams, Mr, F",adams.jpg,24
1994,"Mahlangu, Mr S",Mahlangu.jpg,1
2098,"Motubatse, Mr MP",motubatse.jpg,19
2058,"Maeco, Mr SM",Maeco.jpg,1
2002,"Khumalo, Ms JQ",Juliet_Queen_Khumalo.JPG,1
1350,"Cuthbert, Mr MJ",Cuthbert_MJ.jpg,2
2091,"Mjadu, TS",mjadu.jpg,19
462,"Matiase, Mr NS",Matiase.jpg,11
2001,"Mahlatsi, Mr LW",Mahlatsi.jpg,25
1998,"Shabangu, Ms FL",Fisani_Lillian_Shabangu.JPG,1
1480,"Dlelanga, Mr M",Dlelanga.jpg,1
1999,"Zibi, Mr SS",zibi.jpg,22
2093,"Mkhize, Mr SP",1/Mkhize.jpg,19
2063,"Gcaleka-Mazibuko, Ms NA",molwele.jpg,1
2059,"Ngobeni, Ms LM",ngbeni.jpg,21
2000,"Mokoena, Ms JL",Mokoena_JL.jpg,1
1321,"Mahlaule, Mr MG",Mahlaule.jpg,1
909,"Khanyile, Ms AT",1/Khanyile.jpg,2
2060,"Wakelin, Mr KS",wakelin.jpg,2
2105,"Ngubane, Mr JS",ngubane.jpg,19
2100,"Mtshweni, Ms NA",mtshweni.jpg,19
2095,"Moodley, Mr SR",moodley.jpg,19
2061,"Potgieter, Ms LR",Leah_Ruth.JPG,2
2003,"Klopper, Mr DD",Klopper.jpg,2
2007,"Sompa-Masiu, Ms NS",Sompa-Masiu.jpg,1
2064,"Jacobs, Mr LC",Jacobs.jpg,2
2062,"Ramongalo, Mr TR",ramongalo.jpg,2
2065,"Mbiyo, Ms IM",Mbiyo.jpg,1
1959,"Mdluli, Mr MM",Mdluli.jpg,2
2004,"Kegakilwe, Ms BM",Kegakilwe.jpg,1
2104,"Ndhlela, Mr N",ndlela.jpg,19
2107,"Nomvalo, Mr S",nomvalo.jpg,19
2005,"Legoete, Mr MD",Legoete.jpg,1
2008,"Kgabo, Mr GD",kgg.jpg,1
701,"Chance, Mr T",chance.jpg,2
2102,"Mwali, Mr SG",mwali.jpg,19
2099,"Mthethwa, Mr ZE",1/mthethwa.jpg,19
1273,"Morolong, Mr IK",mr_itiseng_kenneth_morolong.jpg,1
2066,"De Blocq Van Scheltinga, Mr AD",Andrew_Dirk_de_Blocq_van_Scheltinga.JPG,2
1962,"Zondi, Mr S",Zondi.jpg,2
2101,"Muhammad, Ms MB",muhammed.jpg,19
2006,"Tlhong, Ms KC",Tlhong.jpg,1
2009,"Senne, Ms MM",Senne.jpg,1
536,"Kruger, Mr HC",kruger.jpg,2
2109,"Ntshingila, Mr EM",ntshitgila.jpg,19
2103,"Ncube, Ms PP",ncube.jpg,19
481,"Mkhaliphi, Ms HO",Mkhaliphi.jpg,11
2010,"Mosikatsi, Ms S",Mosikatsi.jpg,1
2110,"Ntshaba, Ms D",ntshaba.jpg,19
2011,"Schickerling, Ms LM",Schickerling.jpg,2
2111,"Nxumalo, Mr NI",nxumalo.jpg,19
2012,"Makasi, Ms N",Makasi.jpg,1
925,"Mantashe, Mr G",Mantashe_GS.jpg,1
1900,"Vilakazi, Mr S G",1/vilakazi.jpg,2
926,"Seabi, Mr M A",Seabi.jpg,1
1966,"Bollman, Ms NJ",bollman...jpg,2
982,"Tikana-Gxothiwe, Ms W",tikana.jpg,1
1396,"Modise-Mpya, Ms M",modise.jpg,1
2013,"Plaatjies, Mr WTD",Plaatjies.jpg,1
1897,"Poole, Mr C",poole.jpg,2
1324,"Swarts, Ms B",swarts.jpg,1
1338,"Chabane, Mr MS",Chabane.jpg,1
918,"Maseko, Ms M",Maseko_LM.jpg,2
1816,"Ramokgopa, Ms M",ramokgopa.jpg,1
2014,"Sapo, Ms L",Lindelwa_Sapo.JPG,1
861,"Molefe, Mr B",molefe.jpg,19
880,"Nolutshungu, Ms N",nolutshungu.jpg,11
1329,"Tito-Duba, Ms LF",Tito.jpg,11
868,"Adams, Ms R C",R_aDAMS.jpg,1
1126,"Ndalane, Ms NA",Ndalane.jpg,1
879,"Skosana, Mr GJ",Skosana.jpg,1
919,"Davids, Ms S",Davids.jpg,1
543,"Ntlangwini, Ms EN",Ntlangwini.jpg,11
527,"Kekana, Ms PS",Kekana_PS.jpg,1
949,"Majodina, Ms PC",Majodina_PC.jpg,1
855,"Thembekwayo, Dr S",1/thembekwayo.jpg,11
133,"Lotriet, Prof  A",Lotriet.jpg,2
804,"Paulsen, Mr N M",paulsen_mn.jpg,11
841,"Gungubele, Mr M",gungubele.jpg,1
2015,"Sokopo, Mr MM",Sokopo.jpg,1
1362,"De Lille, Ms P",Lille_resized.jpg,16
878,"Buthelezi, Mr EM",1/Buthelezi_EM.jpg,4
903,"Mhaule, Dr R",Mhaule.jpg,1
906,"Botes, Mr A",21.jpg,1
916,"Dugmore, Mr C",dugmore...jpg,1
2017,"Le Roux, Dr KW",Le_Roux.jpg,2
904,"Mkhize, Dr Z",Mkhize.jpg,1
